Movement	Path Position	Title	Author	Year	Path Note
Neoclassicism / Augustan	1	A Modest Proposal	Jonathan Swift	1729	Start small: savage satire in a few pages — the wit in miniature.
Neoclassicism / Augustan	2	Candide	Voltaire	1759	Fast and funny demolition of optimism — the Enlightenment laughing.
Neoclassicism / Augustan	3	Gulliver's Travels	Jonathan Swift	1726	Satire at book length — reason turned on humanity itself.
Neoclassicism / Augustan	4	The Rape of the Lock	Alexander Pope	1712	Mock-epic sparkle — high style spent on a trivial theme.
Neoclassicism / Augustan	5	Tartuffe	Molière	1664	Comedy of manners — hypocrisy skewered on stage.
Neoclassicism / Augustan	6	The Misanthrope	Molière	1666	Sharper and sadder — the limits of honesty.
Neoclassicism / Augustan	7	An Essay on Criticism	Alexander Pope	1711	The rules stated in verse — the age's aesthetic creed.
Neoclassicism / Augustan	8	Robinson Crusoe	Daniel Defoe	1719	The novel forming — reason alone on an island.
Neoclassicism / Augustan	9	Tom Jones	Henry Fielding	1749	The comic novel arrives fully built.
Neoclassicism / Augustan	10	Phèdre	Jean Racine	1677	French tragedy at its most controlled — passion inside strict form.
Neoclassicism / Augustan	11	The Way of the World	William Congreve	1700	Restoration wit at its most intricate.
Neoclassicism / Augustan	12	Tristram Shandy	Laurence Sterne	1759	Order breaking into play — the exit toward Romanticism.
Romanticism	1	Songs of Innocence and of Experience	William Blake	1794	Start here: short lyrics — the Romantic turn in its simplest form.
Romanticism	2	Lyrical Ballads	William Wordsworth and Samuel Taylor Coleridge	1798	The manifesto in verse — ordinary life, heightened.
Romanticism	3	The Rime of the Ancient Mariner	Samuel Taylor Coleridge	1798	Narrative, uncanny, unforgettable — the easy way in.
Romanticism	4	The Sorrows of Young Werther	Johann Wolfgang von Goethe	1774	The precursor — feeling as everything.
Romanticism	5	Odes	John Keats	1819	Beauty and mortality — lyric at its peak.
Romanticism	6	Ode to the West Wind	Percy Bysshe Shelley	1820	Visionary energy, compact.
Romanticism	7	Childe Harold's Pilgrimage	Lord Byron	1812	The Romantic hero invented.
Romanticism	8	Frankenstein	Mary Shelley	1818	Romantic ideas as story — ambition and its monster.
Romanticism	9	Don Juan	Lord Byron	1819	Romanticism laughing at itself — long but buoyant.
Romanticism	10	The Prelude	William Wordsworth	1850	The growth of a poet's mind — the inward epic.
Romanticism	11	Faust, Part One	Johann Wolfgang von Goethe	1808	The age's great drama of striving.
Romanticism	12	Faust, Part Two	Johann Wolfgang von Goethe	1832	The summit — visionary, difficult, total. Attempt it last.
Realism	1	The Death of Ivan Ilyich	Leo Tolstoy	1886	Start here: short and devastating — realism's clarity in one novella.
Realism	2	Great Expectations	Charles Dickens	1861	Character and society, page-turning — the way in.
Realism	3	Père Goriot	Honoré de Balzac	1835	The realist social machine, compact.
Realism	4	Madame Bovary	Gustave Flaubert	1857	The form perfected — every word weighed.
Realism	5	Fathers and Sons	Ivan Turgenev	1862	Generations and ideas — Russian realism, accessible.
Realism	6	Crime and Punishment	Fyodor Dostoevsky	1866	Psychology as suspense — the interior turn.
Realism	7	Middlemarch	George Eliot	1871	A whole society in one town — the English summit.
Realism	8	Anna Karenina	Leo Tolstoy	1877	The great novel of love and society.
Realism	9	The Brothers Karamazov	Fyodor Dostoevsky	1880	Ideas, faith, murder — the philosophical capstone.
Realism	10	War and Peace	Leo Tolstoy	1869	The largest canvas — read it once the others have prepared you.
Naturalism	1	Thérèse Raquin	Émile Zola	1867	Start here: Zola's method in miniature — determinism as thriller.
Naturalism	2	Maggie: A Girl of the Streets	Stephen Crane	1893	Short American naturalism — the environment as fate.
