Source (influencer)	Target (influenced)	Relationship	Strength	Note
Neoclassicism / Augustan	Romanticism	reaction against	primary	Romanticism defines itself against neoclassical reason, order, and restraint
Neoclassicism / Augustan	Gothic	reaction against	secondary	Gothic revives the irrational and medieval against Enlightenment rationalism
Gothic	Romanticism	feeds / precursor	secondary	Gothic terror and the sublime feed the "dark Romantic" imagination
Gothic	Aestheticism / Decadence	feeds / precursor	secondary	Transmitted largely via Poe; morbidity and beauty-in-decay
Gothic	Symbolism	feeds / precursor	secondary	Poe, in Baudelaire's translations, shapes the Symbolist imagination
Romanticism	Realism	reaction against	primary	Realism rejects Romantic idealization for ordinary social life
Romanticism	Transcendentalism	evolves into	primary	The American branch of Romanticism (Emerson via German and English Romantics)
Romanticism	Symbolism	feeds / precursor	secondary	Romantic subjectivity carried forward through Baudelaire
Romanticism	Aestheticism / Decadence	feeds / precursor	secondary	Keatsian autonomy of beauty seeds "art for art's sake"
Realism	Naturalism	evolves into	primary	Zola radicalizes Realism with determinism and heredity
Realism	Modernism	reaction against	primary	Modernism breaks with realist convention while inheriting its craft
Naturalism	Modernism	feeds / precursor	secondary	Determinism and documentary detail feed early Modernist fiction
Aestheticism / Decadence	Symbolism	feeds / precursor	primary	Closely allied; shared figures (Baudelaire, Huysmans, Mallarmé)
Aestheticism / Decadence	Modernism	feeds / precursor	secondary	Autonomy of art (Wilde, Pater) feeds Modernist aesthetics
Symbolism	Modernism	evolves into	primary	The crucial bridge to Modernist poetry (Yeats, Eliot, Pound)
Symbolism	Imagism	reaction against	secondary	Imagism rejects Symbolist vagueness while descending from it
Symbolism	Surrealism	feeds / precursor	secondary	Rimbaud and Lautreamont revered as Surrealist ancestors
Symbolism	Expressionism	feeds / precursor	secondary	Symbolist inwardness feeds Expressionist distortion
Imagism	Modernism	evolves into	primary	The first phase of Anglo-American poetic Modernism
Expressionism	Modernism	feeds / precursor	secondary	Psychological distortion (Kafka) within the Modernist current
Expressionism	Theatre of the Absurd	feeds / precursor	secondary	Expressionist stagecraft prefigures Absurdist drama
Futurism	Dada	feeds / precursor	secondary	Manifestos, typography, and provocation passed to Dada
Futurism	Modernism	feeds / precursor	secondary	Avant-garde rupture feeds the wider Modernist ferment
Dada	Surrealism	evolves into	primary	Surrealism grows directly out of Dada (Breton, Tzara)
Dada	Postmodernism	feeds / precursor	secondary	Anti-art, chance, and collage prefigure postmodern play
Modernism	Postmodernism	evolves into	primary	Postmodernism continues and reacts against Modernist form
Modernism	Existentialism	feeds / precursor	secondary	Modernist alienation (Kafka, Dostoevsky) shapes Existentialist fiction
Modernism	Harlem Renaissance	cross-influence / overlap	secondary	Shared moment; Modernist form in Toomer's Cane
Modernism	Theatre of the Absurd	feeds / precursor	secondary	Beckett is the hinge between Modernism and the Absurd
Modernism	Magical realism	feeds / precursor	secondary	Kafka and Borges supply much of the technique
Modernism	Postcolonial literature	feeds / precursor	secondary	Modernist technique adapted by postcolonial writers
Surrealism	Magical realism	feeds / precursor	secondary	Carpentier among the Paris Surrealists; "lo real maravilloso"
Surrealism	Postmodernism	feeds / precursor	secondary	Irrationality and play feed postmodern experiment
Surrealism	Beat Generation	feeds / precursor	secondary	Automatism and spontaneity influence Beat method
Surrealism	Theatre of the Absurd	feeds / precursor	secondary	Dream logic and absurdity feed Absurdist theatre
Transcendentalism	Beat Generation	feeds / precursor	secondary	Whitman and self-reliance channelled by Ginsberg and the Beats
Existentialism	Theatre of the Absurd	evolves into	primary	Absurdist drama stages the existential and absurd condition (Camus)
Existentialism	Beat Generation	feeds / precursor	secondary	Postwar alienation and radical freedom
Harlem Renaissance	Postcolonial literature	feeds / precursor	secondary	Directly inspires Negritude (Cesaire, Senghor), a root of Postcolonial literature
Theatre of the Absurd	Postmodernism	feeds / precursor	secondary	Metatheatre and meaninglessness feed postmodern drama (Stoppard)
Beat Generation	Postmodernism	feeds / precursor	secondary	Burroughs's cut-up method claimed by both
Magical realism	Postmodernism	cross-influence / overlap	secondary	Garcia Marquez and Rushdie shared by both
Magical realism	Postcolonial literature	cross-influence / overlap	secondary	Rushdie, Okri, and Morrison work across both
Postmodernism	Postcolonial literature	cross-influence / overlap	secondary	Much postcolonial fiction adopts postmodern strategies
Postmodernism	New Sincerity	reaction against	primary	New Sincerity reacts against pervasive postmodern irony (D. F. Wallace)
